time,jurisdiction,year,month,tas,RH
1/1/2007,ACT,2007,1,20.31973645,53.62194411
1/2/2007,ACT,2007,2,19.07481085,69.49525994
1/3/2007,ACT,2007,3,16.88223802,65.07965451
1/4/2007,ACT,2007,4,12.66667583,66.51634417
1/5/2007,ACT,2007,5,9.72681699,74.34998464
1/6/2007,ACT,2007,6,4.875474421,80.42466089
1/7/2007,ACT,2007,7,3.954239392,78.73568053
1/8/2007,ACT,2007,8,7.311309453,71.60022022
1/9/2007,ACT,2007,9,8.456508389,64.83655587
1/10/2007,ACT,2007,10,13.12384392,52.85841599
1/11/2007,ACT,2007,11,15.89058899,68.40476237
1/12/2007,ACT,2007,12,17.05640698,66.40173254
1/1/2008,ACT,2008,1,19.71508023,63.07235489
1/2/2008,ACT,2008,2,16.03403431,68.18112969
1/3/2008,ACT,2008,3,16.28845913,61.736041
1/4/2008,ACT,2008,4,10.44529996,69.40637765
1/5/2008,ACT,2008,5,7.435386142,75.98972088
1/6/2008,ACT,2008,6,6.931123333,80.76642593
1/7/2008,ACT,2008,7,3.826330864,78.42173491
1/8/2008,ACT,2008,8,4.521574074,72.1001762
1/9/2008,ACT,2008,9,9.139731105,62.10271292
1/10/2008,ACT,2008,10,13.27648293,55.88553226
1/11/2008,ACT,2008,11,14.69416009,60.81281742
1/12/2008,ACT,2008,12,16.2466261,57.25684053
1/1/2009,ACT,2009,1,20.75173293,50.13510312
1/2/2009,ACT,2009,2,18.94186807,61.10315557
1/3/2009,ACT,2009,3,16.4912477,59.46263761
1/4/2009,ACT,2009,4,11.47214513,71.67677563
1/5/2009,ACT,2009,5,8.454796113,76.36638181
1/6/2009,ACT,2009,6,5.978649077,83.9143467
1/7/2009,ACT,2009,7,4.689846655,78.46099023
1/8/2009,ACT,2009,8,6.30332019,70.98572217
1/9/2009,ACT,2009,9,9.191260028,66.71208658
1/10/2009,ACT,2009,10,10.7438599,69.6351942
1/11/2009,ACT,2009,11,18.56939168,56.11903175
1/12/2009,ACT,2009,12,18.40308097,55.71504593
1/1/2010,ACT,2010,1,20.77489006,55.25145684
1/2/2010,ACT,2010,2,18.67766274,70.61199086
1/3/2010,ACT,2010,3,16.15234093,68.47350401
1/4/2010,ACT,2010,4,12.54450543,72.68864968
1/5/2010,ACT,2010,5,7.983362317,78.43352538
1/6/2010,ACT,2010,6,4.974784906,80.96858976
1/7/2010,ACT,2010,7,4.783275747,82.03296332
1/8/2010,ACT,2010,8,4.872843873,76.40378673
1/9/2010,ACT,2010,9,8.316788732,70.49825927
1/10/2010,ACT,2010,10,11.86595749,73.04831797
1/11/2010,ACT,2010,11,14.79726851,70.90889676
1/12/2010,ACT,2010,12,16.26126491,68.08710041
1/1/2011,ACT,2011,1,19.85129155,68.04057886
1/2/2011,ACT,2011,2,18.46667562,72.06514467
1/3/2011,ACT,2011,3,15.18402916,75.40824747
1/4/2011,ACT,2011,4,10.73940196,75.15545101
1/5/2011,ACT,2011,5,6.465606087,76.00213574
1/6/2011,ACT,2011,6,5.116835565,79.95084143
1/7/2011,ACT,2011,7,4.045173583,79.40322925
1/8/2011,ACT,2011,8,6.976803792,76.0036012
1/9/2011,ACT,2011,9,8.663677252,66.57797037
1/10/2011,ACT,2011,10,11.73587244,67.82976743
1/11/2011,ACT,2011,11,15.94190861,66.841572
1/12/2011,ACT,2011,12,15.05232266,69.2184016
1/1/2012,ACT,2012,1,17.99773012,64.55549169
1/2/2012,ACT,2012,2,16.89943418,76.0205264
1/3/2012,ACT,2012,3,14.16601446,76.895746
1/4/2012,ACT,2012,4,11.73114086,75.81663758
1/5/2012,ACT,2012,5,6.226391178,77.11596969
1/6/2012,ACT,2012,6,5.046924306,84.11435592
1/7/2012,ACT,2012,7,4.328724528,79.79372149
1/8/2012,ACT,2012,8,4.604798732,73.53040137
1/9/2012,ACT,2012,9,8.39772952,68.08610816
1/10/2012,ACT,2012,10,11.57670601,58.77481427
1/11/2012,ACT,2012,11,15.73380424,62.46040204
1/12/2012,ACT,2012,12,17.26375116,59.08441317
1/1/2013,ACT,2013,1,20.79339964,56.24275582
1/2/2013,ACT,2013,2,17.91107445,68.31341383
1/3/2013,ACT,2013,3,15.97385623,67.45211105
1/4/2013,ACT,2013,4,12.04784398,70.13757181
1/5/2013,ACT,2013,5,7.791937573,76.03492176
1/6/2013,ACT,2013,6,5.992959852,83.82416908
1/7/2013,ACT,2013,7,5.527223789,81.70654472
1/8/2013,ACT,2013,8,6.200725814,74.82139683
1/9/2013,ACT,2013,9,10.50646803,67.14674082
1/10/2013,ACT,2013,10,11.6723553,57.00387741
1/11/2013,ACT,2013,11,13.78889449,58.43254628
1/12/2013,ACT,2013,12,17.99383422,55.59939535
1/1/2014,ACT,2014,1,20.04735615,51.3932028
1/2/2014,ACT,2014,2,18.99495914,62.94622056
1/3/2014,ACT,2014,3,16.49120341,74.52105875
1/4/2014,ACT,2014,4,12.22798771,77.26483502
1/5/2014,ACT,2014,5,8.733993601,80.40839985
1/6/2014,ACT,2014,6,6.048904232,84.44637276
1/7/2014,ACT,2014,7,4.628012683,79.54056492
1/8/2014,ACT,2014,8,5.403667236,75.53987213
1/9/2014,ACT,2014,9,9.071030745,69.81596346
1/10/2014,ACT,2014,10,13.3229648,58.66179509
1/11/2014,ACT,2014,11,16.84173687,56.28870344
1/12/2014,ACT,2014,12,17.77537495,64.18475005
1/1/2015,ACT,2015,1,18.25289201,67.70106837
1/2/2015,ACT,2015,2,18.53894694,70.75577475
1/3/2015,ACT,2015,3,15.5603358,60.94372331
1/4/2015,ACT,2015,4,11.46521444,77.11214586
1/5/2015,ACT,2015,5,7.734387248,75.03566695
1/6/2015,ACT,2015,6,4.91628107,81.14720494
1/7/2015,ACT,2015,7,3.767669391,81.85316652
1/8/2015,ACT,2015,8,5.396613083,77.66795515
1/9/2015,ACT,2015,9,8.237468996,71.73080046
1/10/2015,ACT,2015,10,14.99442737,63.47687667
1/11/2015,ACT,2015,11,16.11659983,62.61314995
1/12/2015,ACT,2015,12,18.28415684,54.58091295
1/1/2016,ACT,2016,1,18.54060263,66.25406873
1/2/2016,ACT,2016,2,19.37359543,62.12353998
1/3/2016,ACT,2016,3,17.62909446,67.11304212
1/4/2016,ACT,2016,4,13.77902774,67.85346257
1/5/2016,ACT,2016,5,8.646979842,75.63244707
1/6/2016,ACT,2016,6,6.0317492,83.17394626
1/7/2016,ACT,2016,7,5.483359876,84.73885939
1/8/2016,ACT,2016,8,5.873354454,76.76708329
1/9/2016,ACT,2016,9,8.302930525,79.32238075
1/10/2016,ACT,2016,10,10.08741194,67.20048996
1/11/2016,ACT,2016,11,15.1598124,59.30404175
1/12/2016,ACT,2016,12,18.6290926,60.54951562
1/1/2017,ACT,2017,1,21.07304896,59.33283843
1/2/2017,ACT,2017,2,19.32945618,56.33505668
1/3/2017,ACT,2017,3,16.97668313,72.23604026
1/4/2017,ACT,2017,4,11.31857074,73.22576733
1/5/2017,ACT,2017,5,7.796481453,77.25910157
1/6/2017,ACT,2017,6,4.99530805,79.74332624
1/7/2017,ACT,2017,7,4.014598013,76.96458592
1/8/2017,ACT,2017,8,5.155114425,71.6076039
1/9/2017,ACT,2017,9,8.51404667,59.77135551
1/10/2017,ACT,2017,10,13.27359122,65.19547266
1/11/2017,ACT,2017,11,14.99421598,67.38791918
1/12/2017,ACT,2017,12,18.64522757,62.18951717
1/1/2018,ACT,2018,1,20.87462749,54.88259315
1/2/2018,ACT,2018,2,18.60568076,58.37890894
1/3/2018,ACT,2018,3,16.45367083,61.32194607
1/4/2018,ACT,2018,4,14.88286416,61.09778404
1/5/2018,ACT,2018,5,8.063695189,69.83251927
1/6/2018,ACT,2018,6,5.604556974,80.2925571
1/7/2018,ACT,2018,7,4.324590746,72.53923525
1/8/2018,ACT,2018,8,5.326020507,69.43161704
1/9/2018,ACT,2018,9,8.472330883,62.03297037
1/10/2018,ACT,2018,10,12.88810709,64.16462906
1/11/2018,ACT,2018,11,14.99750074,60.50388549
1/12/2018,ACT,2018,12,19.53383194,56.52038187
1/1/2019,ACT,2019,1,23.49302118,58.7394424
1/2/2019,ACT,2019,2,18.86854992,59.22939007
1/3/2019,ACT,2019,3,16.66721979,66.30853268
1/4/2019,ACT,2019,4,13.38395613,67.94818387
1/5/2019,ACT,2019,5,8.003126373,74.78852914
1/6/2019,ACT,2019,6,5.450546267,80.17203807
1/7/2019,ACT,2019,7,5.404225876,75.97557026
1/8/2019,ACT,2019,8,5.187973938,71.37852458
1/9/2019,ACT,2019,9,9.036887757,62.09491884
1/10/2019,ACT,2019,10,13.28155778,52.77995002
1/11/2019,ACT,2019,11,15.8791807,46.49600698
1/12/2019,ACT,2019,12,20.13322078,44.9467813
1/1/2020,ACT,2020,1,21.38388471,55.76571121
1/2/2020,ACT,2020,2,18.49003095,65.66235956
1/3/2020,ACT,2020,3,15.21492354,68.820203
1/4/2020,ACT,2020,4,11.65533933,74.62897547
1/5/2020,ACT,2020,5,7.620893353,77.72564998
1/6/2020,ACT,2020,6,5.854639339,82.095902
1/7/2020,ACT,2020,7,5.661460895,80.64339334
1/8/2020,ACT,2020,8,5.657108967,76.91583201
1/9/2020,ACT,2020,9,9.728355091,72.75505809
1/10/2020,ACT,2020,10,12.78131141,72.37623296
1/11/2020,ACT,2020,11,16.64401396,62.85212804
1/12/2020,ACT,2020,12,16.1026272,65.37731142
1/1/2021,ACT,2021,1,18.26340595,61.77483035
1/2/2021,ACT,2021,2,17.23013392,69.16927511
1/3/2021,ACT,2021,3,14.58699648,71.19202393
1/4/2021,ACT,2021,4,11.2375158,67.38731778
1/5/2021,ACT,2021,5,7.859374237,78.57861865
1/6/2021,ACT,2021,6,5.98317727,85.12030584
1/7/2021,ACT,2021,7,4.662793924,81.99568136
1/8/2021,ACT,2021,8,6.301861575,75.8785392
1/9/2021,ACT,2021,9,8.938399056,69.54637038
1/10/2021,ACT,2021,10,11.07643721,67.46093394
1/11/2021,ACT,2021,11,13.21134808,75.04858374
1/12/2021,ACT,2021,12,16.54547558,68.04816422
1/1/2022,ACT,2022,1,18.98459058,74.9073846
1/2/2022,ACT,2022,2,17.18585373,71.06386557
1/3/2022,ACT,2022,3,15.86622105,76.56949523
1/4/2022,ACT,2022,4,12.29158687,79.9681627
1/5/2022,ACT,2022,5,8.510158211,82.02928073
1/6/2022,ACT,2022,6,4.707482243,82.8210395
1/7/2022,ACT,2022,7,4.973204643,79.88019184
1/8/2022,ACT,2022,8,6.661426451,79.8906345
1/9/2022,ACT,2022,9,8.367895525,76.12162388
1/10/2022,ACT,2022,10,11.54173112,77.28388083
1/11/2022,ACT,2022,11,12.24251687,68.1705848
1/12/2022,ACT,2022,12,15.13647815,62.39925292
1/1/2023,ACT,2023,1,18.14941036,69.50928083
1/2/2023,ACT,2023,2,17.68076903,65.72344679
1/3/2023,ACT,2023,3,16.17040192,68.35116779
1/4/2023,ACT,2023,4,11.4218807,77.1072849
1/5/2023,ACT,2023,5,6.591347074,76.87244069
1/6/2023,ACT,2023,6,5.859612966,82.71344626
