"state","date","year","month","obs","popn","tas","RH"
"NSW",2008-01-01,2008,1,12,6919907,21.5970859387989,73.4874137407528
"NSW",2008-02-01,2008,2,27,6919907,19.4045242414396,73.8973537405653
"NSW",2008-03-01,2008,3,44,6919907,19.029131557676,70.2508382468844
"NSW",2008-04-01,2008,4,31,6943461,14.6495817454557,73.1270662801132
"NSW",2008-05-01,2008,5,90,6943461,12.4827421348744,72.9626130361298
"NSW",2008-06-01,2008,6,70,6943461,12.0433961004881,77.9277231707347
"NSW",2008-07-01,2008,7,200,6972395,9.44275888579227,69.4611581193977
"NSW",2008-08-01,2008,8,483,6972395,9.46813937475619,65.3300426520527
"NSW",2008-09-01,2008,9,441,6972395,14.169236803367,63.8994478150336
"NSW",2008-10-01,2008,10,244,7001782,17.1503622339336,64.6757193218985
"NSW",2008-11-01,2008,11,124,7001782,18.2820544687837,66.726393524128
"NSW",2008-12-01,2008,12,76,7001782,20.4025319276055,64.0127892293567
"NSW",2009-01-01,2009,1,110,7032423,22.8400996988132,62.0110324355288
"NSW",2009-02-01,2009,2,49,7032423,21.608310627695,71.4867230264722
"NSW",2009-03-01,2009,3,75,7032423,19.9402901652691,69.1451269375628
"NSW",2009-04-01,2009,4,93,7053755,16.2683390693409,73.4913589243699
"NSW",2009-05-01,2009,5,448,7053755,13.383923020053,74.520375696376
"NSW",2009-06-01,2009,6,3065,7053755,10.97240853321,76.405181691376
"NSW",2009-07-01,2009,7,7846,7079175,10.0344357675952,70.2525109286402
"NSW",2009-08-01,2009,8,912,7079175,12.4945344055427,58.7036449442416
"NSW",2009-09-01,2009,9,123,7079175,15.163607570603,58.4838227521242
"NSW",2009-10-01,2009,10,51,7101504,15.6968778384244,66.1135176269395
"NSW",2009-11-01,2009,11,30,7101504,21.5796452641577,63.4330969229243
"NSW",2009-12-01,2009,12,47,7101504,21.555889081438,65.6124197926473
"NSW",2010-01-01,2010,1,55,7128356,23.1254908253209,66.5142131888286
"NSW",2010-02-01,2010,2,35,7128356,22.1925093917034,73.0378934662184
"NSW",2010-03-01,2010,3,35,7128356,20.0798934755826,71.2577396828676
"NSW",2010-04-01,2010,4,74,7144292,17.1127927244898,71.7845771724615
"NSW",2010-05-01,2010,5,52,7144292,13.0981184950999,74.9468026785715
"NSW",2010-06-01,2010,6,41,7144292,10.2517007293535,75.5554570468551
"NSW",2010-07-01,2010,7,112,7162726,10.2122521620797,78.2480927081716
"NSW",2010-08-01,2010,8,243,7162726,10.5690724527565,65.7013473830508
"NSW",2010-09-01,2010,9,380,7162726,13.6817773793714,66.4296517380942
"NSW",2010-10-01,2010,10,336,7179891,16.0250889237454,73.2571830445752
"NSW",2010-11-01,2010,11,92,7179891,18.5334077468304,73.2449367401102
"NSW",2010-12-01,2010,12,112,7179891,20.3756669076801,70.4701385177377
"NSW",2011-01-01,2011,1,129,7204737,22.5301164564917,72.4487034564618
"NSW",2011-02-01,2011,2,105,7204737,22.6509941181693,69.6748252648888
"NSW",2011-03-01,2011,3,134,7204737,19.6492256190458,75.0585702098338
"NSW",2011-04-01,2011,4,126,7218529,15.6741798919777,74.4893685895748
"NSW",2011-05-01,2011,5,155,7218529,11.7696963083023,72.3923385561979
"NSW",2011-06-01,2011,6,489,7218529,10.5319136633641,73.735860847693
"NSW",2011-07-01,2011,7,1752,7239528,9.50769853139591,71.530745111527
"NSW",2011-08-01,2011,8,1434,7239528,11.7896900665212,73.555945555482
"NSW",2011-09-01,2011,9,825,7239528,13.9952373657422,61.905676361126
"NSW",2011-10-01,2011,10,322,7258722,15.7628936980117,69.396433824771
"NSW",2011-11-01,2011,11,182,7258722,19.9770654669176,71.2483055903521
"NSW",2011-12-01,2011,12,138,7258722,17.7884684288511,72.2881315201149
"NSW",2012-01-01,2012,1,55,7284982,20.896294843997,71.2564680280638
"NSW",2012-02-01,2012,2,56,7284982,20.3516379258445,78.4723788280671
"NSW",2012-03-01,2012,3,134,7284982,18.5499919713416,76.5183489024709
"NSW",2012-04-01,2012,4,82,7304244,16.4812297510944,75.0427781085373
"NSW",2012-05-01,2012,5,233,7304244,12.022784603536,70.9342281714555
"NSW",2012-06-01,2012,6,2064,7304244,10.2397426235698,79.5727150264846
"NSW",2012-07-01,2012,7,2233,7327614,9.81789458261116,74.6389654340178
"NSW",2012-08-01,2012,8,1837,7327614,10.784648384113,59.888631871235
"NSW",2012-09-01,2012,9,784,7327614,14.0706032329645,60.0945849113018
"NSW",2012-10-01,2012,10,262,7353189,16.246425804343,58.718611030324
"NSW",2012-11-01,2012,11,152,7353189,19.3622223198059,67.1150480188956
"NSW",2012-12-01,2012,12,97,7353189,20.9506008462592,65.3407933611277
"NSW",2013-01-01,2013,1,95,7382957,23.0679173078364,67.9949344198534
"NSW",2013-02-01,2013,2,130,7382957,20.6779102562283,74.5205613689732
"NSW",2013-03-01,2013,3,169,7382957,19.835118177628,72.0343664464597
