state,date,year,month,observed,observed_imp,popn,tas,RH
NSW,2008-01-01,2008,1,12,12,6919907.0,21.597085938798926,73.48741374075279
NSW,2008-02-01,2008,2,27,27,6919907.0,19.40452424143964,73.8973537405653
NSW,2008-03-01,2008,3,44,44,6919907.0,19.02913155767597,70.25083824688438
NSW,2008-04-01,2008,4,31,31,6943461.0,14.649581745455746,73.12706628011324
NSW,2008-05-01,2008,5,90,90,6943461.0,12.482742134874387,72.96261303612984
NSW,2008-06-01,2008,6,70,70,6943461.0,12.043396100488104,77.92772317073465
NSW,2008-07-01,2008,7,200,200,6972395.0,9.442758885792266,69.46115811939765
NSW,2008-08-01,2008,8,483,483,6972395.0,9.46813937475619,65.33004265205265
NSW,2008-09-01,2008,9,441,441,6972395.0,14.169236803366994,63.89944781503363
NSW,2008-10-01,2008,10,244,244,7001782.0,17.15036223393357,64.67571932189853
NSW,2008-11-01,2008,11,124,124,7001782.0,18.282054468783667,66.72639352412803
NSW,2008-12-01,2008,12,76,76,7001782.0,20.40253192760549,64.01278922935668
NSW,2009-01-01,2009,1,116,116,7032423.0,22.840099698813187,62.01103243552881
NSW,2009-02-01,2009,2,49,49,7032423.0,21.608310627695005,71.48672302647218
NSW,2009-03-01,2009,3,75,75,7032423.0,19.940290165269108,69.14512693756278
NSW,2009-04-01,2009,4,93,93,7053755.0,16.26833906934091,73.49135892436993
NSW,2009-05-01,2009,5,448,448,7053755.0,13.383923020053048,74.52037569637602
NSW,2009-06-01,2009,6,3065,3065,7053755.0,10.972408533209968,76.40518169137597
NSW,2009-07-01,2009,7,7846,7846,7079175.0,10.034435767595228,70.25251092864016
NSW,2009-08-01,2009,8,912,912,7079175.0,12.49453440554274,58.70364494424157
NSW,2009-09-01,2009,9,123,123,7079175.0,15.163607570602958,58.48382275212421
NSW,2009-10-01,2009,10,51,51,7101504.0,15.696877838424394,66.1135176269395
NSW,2009-11-01,2009,11,30,30,7101504.0,21.57964526415765,63.43309692292432
NSW,2009-12-01,2009,12,47,47,7101504.0,21.555889081438025,65.61241979264729
NSW,2010-01-01,2010,1,49,49,7128356.0,23.125490825320924,66.51421318882865
NSW,2010-02-01,2010,2,35,35,7128356.0,22.192509391703435,73.03789346621836
NSW,2010-03-01,2010,3,35,35,7128356.0,20.079893475582622,71.25773968286764
NSW,2010-04-01,2010,4,74,74,7144292.0,17.112792724489754,71.78457717246147
NSW,2010-05-01,2010,5,52,52,7144292.0,13.098118495099932,74.94680267857154
