M4,M0,M1,M2,M3,STD,M3_pre_COVID,STD_pre_COVID
2578.4495,2918.8396,2375.456,2771.0776,2210.6297,4510.967135160481,440.8596,786.9319566260967
3618.0905,4016.0716,3376.8611,3801.4939,3087.9252,4517.809024065375,652.3012,811.4354600686246
4051.123,4433.062,3885.5601,4188.4084,3619.5408,4524.13574160382,890.8975,923.4687106807288
4233.0271,4580.8111,4134.8364,4342.1697,3971.1843,4523.925106314522,1247.0675,1151.4953932270478
4841.7705,5166.5322,4820.482,4928.7177,4711.2012,4998.11561339851,1953.6528,1785.1997843422732
6893.9742,7251.4782,6953.7458,6986.9789,6875.6477,6980.241905521028,3360.1695,3207.087954881213
7047.9135,7406.6834,7105.8085,7143.0353,7009.974,7078.0828161765,4562.5967,4524.082486872405
7046.8591,7378.3853,7115.7007,7137.44,7037.8599,7073.581690830253,5791.3187,5754.9907014412
7009.2803,7327.2974,7093.2806,7090.7322,7027.7638,7081.006268248279,5936.5769,5860.579786145652
6975.0122,7296.6691,7062.6984,7049.9476,7009.291,7093.715743363333,5946.7943,5867.967707153525
6987.7323,7309.2358,7065.8123,7063.4464,7018.4968,7102.2359326692285,5961.6195,5877.269560355927
7061.8704,7346.2831,7112.5809,7131.9719,7070.2979,7105.642579398087,5991.2169,5889.181665666366
