M0,M1,M2,M3,M4,STD,M3_imp,STD_imp
2918.3287,2546.5635,2797.3525,2293.4832,2546.8238,4510.967135160481,2293.0753,4510.895601030457
4001.7555,3601.6375,3875.9281,3238.5231,3656.9685,4517.809024065375,3240.3519,4517.698774842369
4416.3029,4103.8611,4294.9429,3811.9408,4143.7322,4524.13574160382,3815.041,4523.997981652052
4567.2591,4324.1631,4457.7371,4156.4062,4348.1869,4523.925106314522,4156.0464,4523.781150216383
5151.9729,4949.9686,5026.4453,4840.8846,4923.6616,4998.11561339851,4839.3061,4997.9734725055705
7234.0841,7035.4005,7074.1291,6922.1019,6962.8213,6980.241905521028,6919.6669,6980.113969447893
7382.4974,7175.1084,7216.4246,7045.4342,7097.5292,7078.0828161765,7042.7632,7077.949904878343
7343.9953,7153.9317,7184.1564,7028.135,7063.1071,7073.581690830253,7026.3343,7073.453302477841
7277.7274,7102.1203,7104.9244,6984.3506,6993.2864,7081.006268248279,6982.2147,7080.892321483277
7237.6057,7039.9217,7019.2774,6929.5985,6912.7458,7093.715743363333,6926.4673,7093.60391718325
7247.6803,7029.5982,7032.351,6914.9351,6923.4505,7102.2359326692285,6911.4098,7102.120177499169
7276.6255,7063.132,7106.0185,6959.4824,7001.7948,7105.642579398087,6957.0045,7105.5272813671645
