M0,M1,M2,M3,M4,STD,M3_season
2946.7235,2347.4481,2744.3551,2244.464,2616.4345,4510.967135160481,4108.7625
4041.2062,3340.0535,3776.727,3140.9839,3638.5994,4517.809024065375,4146.472
4465.9045,3874.4796,4202.571,3653.068,4099.1906,4524.13574160382,4153.6134
4625.2499,4158.657,4384.631,4023.3754,4309.8213,4523.925106314522,4163.4823
5226.3769,4895.3023,5002.5518,4809.5422,4956.0004,4998.11561339851,4771.0853
7318.2585,7070.8253,7087.4903,7015.6631,7034.2809,6980.241905521028,6741.9738
7482.3913,7248.0055,7259.8472,7178.0949,7207.6238,7078.0828161765,6802.9178
7463.7105,7272.0377,7266.2688,7216.4798,7216.4152,7073.581690830253,6983.8121
7429.2338,7266.8561,7245.9218,7223.7807,7199.7373,7081.006268248279,7005.6704
7417.3947,7259.3645,7242.9131,7225.9057,7202.3854,7093.715743363333,6999.3184
7436.7587,7277.2017,7272.3419,7245.9124,7227.7355,7102.2359326692285,6990.6933
7464.9125,7302.8576,7312.0267,7274.5346,7270.6945,7105.642579398087,6857.6794
